house,date,search_results,search_url,xml_found,xml_url
senate,1993-02-08,True,"https://parlinfo.aph.gov.au/parlInfo/search/summary/summary.w3p;adv=yes;orderBy=customrank;page=0;query=Date%3A08/02/1993%20Dataset%3Ahansards,hansards80,hansardsIndex;resCount=Default",False,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1993-02-08/toc_sgml/senate%201993-02-08.sgm
senate,1994-03-15,True,"https://parlinfo.aph.gov.au/parlInfo/search/summary/summary.w3p;adv=yes;orderBy=customrank;page=0;query=Date%3A15/03/1994%20Dataset%3Ahansards,hansards80,hansardsIndex;resCount=Default",False,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1994-03-15/toc_sgml/senate%201994-03-15.sgm
senate,1994-12-09,True,"https://parlinfo.aph.gov.au/parlInfo/search/summary/summary.w3p;adv=yes;orderBy=customrank;page=0;query=Date%3A09/12/1994%20Dataset%3Ahansards,hansards80,hansardsIndex;resCount=Default",False,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1994-12-09/toc_sgml/senate%201994-12-09.sgm
senate,1995-12-01,True,"https://parlinfo.aph.gov.au/parlInfo/search/summary/summary.w3p;adv=yes;orderBy=customrank;page=0;query=Date%3A01/12/1995%20Dataset%3Ahansards,hansards80,hansardsIndex;resCount=Default",False,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-12-01/toc_sgml/senate%201995-12-01.sgm
senate,1996-11-28,False,"https://parlinfo.aph.gov.au/parlInfo/search/summary/summary.w3p;adv=yes;orderBy=customrank;page=0;query=Date%3A28/11/1996%20Dataset%3Ahansards,hansards80,hansardsIndex;resCount=Default",False,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-11-28/toc_sgml/senate%201996-11-28.sgm
senate,2000-10-12,True,"https://parlinfo.aph.gov.au/parlInfo/search/summary/summary.w3p;adv=yes;orderBy=customrank;page=0;query=Date%3A12/10/2000%20Dataset%3Ahansards,hansards80,hansardsIndex;resCount=Default",False,
senate,2001-08-07,False,"https://parlinfo.aph.gov.au/parlInfo/search/summary/summary.w3p;adv=yes;orderBy=customrank;page=0;query=Date%3A07/08/2001%20Dataset%3Ahansards,hansards80,hansardsIndex;resCount=Default",False,
senate,2004-02-10,True,"https://parlinfo.aph.gov.au/parlInfo/search/summary/summary.w3p;adv=yes;orderBy=customrank;page=0;query=Date%3A10/02/2004%20Dataset%3Ahansards,hansards80,hansardsIndex;resCount=Default",False,
senate,2005-09-05,False,"https://parlinfo.aph.gov.au/parlInfo/search/summary/summary.w3p;adv=yes;orderBy=customrank;page=0;query=Date%3A05/09/2005%20Dataset%3Ahansards,hansards80,hansardsIndex;resCount=Default",False,
senate,2005-11-07,False,"https://parlinfo.aph.gov.au/parlInfo/search/summary/summary.w3p;adv=yes;orderBy=customrank;page=0;query=Date%3A07/11/2005%20Dataset%3Ahansards,hansards80,hansardsIndex;resCount=Default",False,
