house,year,date,url,file
senate,1978,1978-05-23,/parlInfo/download/hansard80/hansards80/1978-05-23/toc_unixml/19780523_senate_31_s77_v7.xml;fileType=text%2Fxml,19780523_senate_31_s77_v7.xml
senate,1978,1978-05-24,/parlInfo/download/hansard80/hansards80/1978-05-24/toc_unixml/19780524_senate_31_s77_v7.xml;fileType=text%2Fxml,19780524_senate_31_s77_v7.xml
senate,1978,1978-05-25,/parlInfo/download/hansard80/hansards80/1978-05-25/toc_unixml/19780525_senate_31_s77_v9.xml;fileType=text%2Fxml,19780525_senate_31_s77_v9.xml
senate,1978,1978-05-26,/parlInfo/download/hansard80/hansards80/1978-05-26/toc_unixml/19780526_senate_31_s77_v9.xml;fileType=text%2Fxml,19780526_senate_31_s77_v9.xml
senate,1978,1978-05-29,/parlInfo/download/hansard80/hansards80/1978-05-29/toc_unixml/19780529_senate_31_s77_v9.xml;fileType=text%2Fxml,19780529_senate_31_s77_v9.xml
senate,1978,1978-05-30,/parlInfo/download/hansard80/hansards80/1978-05-30/toc_unixml/19780530_senate_31_s77_v7.xml;fileType=text%2Fxml,19780530_senate_31_s77_v7.xml
senate,1978,1978-05-31,/parlInfo/download/hansard80/hansards80/1978-05-31/toc_unixml/19780531_senate_31_s77_v8.xml;fileType=text%2Fxml,19780531_senate_31_s77_v8.xml
senate,1978,1978-06-01,/parlInfo/download/hansard80/hansards80/1978-06-01/toc_unixml/19780601_senate_31_s77_v7.xml;fileType=text%2Fxml,19780601_senate_31_s77_v7.xml
senate,1978,1978-06-02,/parlInfo/download/hansard80/hansards80/1978-06-02/toc_unixml/19780602_senate_31_s77_v8.xml;fileType=text%2Fxml,19780602_senate_31_s77_v8.xml
senate,1978,1978-06-06,/parlInfo/download/hansard80/hansards80/1978-06-06/toc_unixml/19780606_senate_31_s77_v8.xml;fileType=text%2Fxml,19780606_senate_31_s77_v8.xml
senate,1978,1978-06-07,/parlInfo/download/hansard80/hansards80/1978-06-07/toc_unixml/19780607_senate_31_s77_v9.xml;fileType=text%2Fxml,19780607_senate_31_s77_v9.xml
senate,1978,1978-06-08,/parlInfo/download/hansard80/hansards80/1978-06-08/toc_unixml/19780608_senate_31_s77_v9.xml;fileType=text%2Fxml,19780608_senate_31_s77_v9.xml
senate,1978,1978-06-09,/parlInfo/download/hansard80/hansards80/1978-06-09/toc_unixml/19780609_senate_31_s77_v9.xml;fileType=text%2Fxml,19780609_senate_31_s77_v9.xml
senate,1978,1978-08-15,/parlInfo/download/hansard80/hansards80/1978-08-15/toc_unixml/19780815_senate_31_s78_v7.xml;fileType=text%2Fxml,19780815_senate_31_s78_v7.xml
senate,1978,1978-08-16,/parlInfo/download/hansard80/hansards80/1978-08-16/toc_unixml/19780816_senate_31_s78_v7.xml;fileType=text%2Fxml,19780816_senate_31_s78_v7.xml
senate,1978,1978-08-17,/parlInfo/download/hansard80/hansards80/1978-08-17/toc_unixml/19780817_senate_31_s78_v7.xml;fileType=text%2Fxml,19780817_senate_31_s78_v7.xml
senate,1978,1978-08-22,/parlInfo/download/hansard80/hansards80/1978-08-22/toc_unixml/19780822_senate_31_s78_v6.xml;fileType=text%2Fxml,19780822_senate_31_s78_v6.xml
